Make,Model,Year,Mileage,Price,Fuel,Registration_City,Documents,Assembly,Transmission,Car_Age,Mileage_Per_Year
Suzuki,Baleno,2003,99999,930000,Petrol,Faisalabad,Original,Local,Manual,23,4166.625
Changan,Karvaan,2022,7000,2200000,Petrol,Lahore,Original,Local,Manual,4,1400.0
Suzuki,Wagon R,2019,50000,2500000,Petrol,Lahore,Original,Local,Manual,7,6250.0
Toyota,Corolla XLI,2020,48000,4300000,Petrol,Islamabad,Original,Local,Automatic,6,6857.142857142857
Toyota,Corolla GLI,2019,60000,2195000,Petrol,Islamabad,Original,Local,Manual,7,7500.0
FAW,X-PV,2014,150000,900000,Petrol,Lahore,Original,Local,Manual,12,11538.461538461539
Toyota,Yaris,2021,42000,4100000,Petrol,Karachi,Original,Local,Automatic,5,7000.0
Suzuki,Bolan,2009,100000,860000,Petrol,Rawalpindi,Original,Local,Manual,17,5555.555555555556
Suzuki,Mehran VXR,2011,35000,530000,Petrol,Multan,Original,Local,Manual,15,2187.5
Honda,City IVTEC,2010,210000,2490000,Petrol,Islamabad,Original,Local,Manual,16,12352.941176470587
Daihatsu,Mira,2012,100000,2070000,Petrol,Karachi,Original,Imported,Automatic,14,6666.666666666667
Daihatsu,Hijet,2017,5700,1150000,Petrol,Islamabad,Original,Imported,Automatic,9,570.0
Toyota,Corolla GLI,2012,105000,2650000,Petrol,Karachi,Original,Local,Manual,14,7000.0
Suzuki,Swift,2016,74000,2225000,Petrol,Lahore,Original,Local,Manual,10,6727.272727272727
Suzuki,Swift,2019,62000,2690000,Petrol,Lahore,Original,Local,Manual,7,7750.0
Suzuki,Wagon R,2021,8000,2900000,Petrol,Karachi,Original,Local,Manual,5,1333.3333333333333
Suzuki,Bolan,2015,46500,850000,Petrol,Lahore,Original,Local,Manual,11,3875.0
Daihatsu,Cuore,2008,84512,745000,Petrol,Karachi,Original,Local,Manual,18,4448.0
Toyota,Corolla XLI,2007,150000,1650000,Petrol,Multan,Original,Local,Manual,19,7500.0
Honda,City IDSI,2005,95000,1625000,Petrol,Islamabad,Original,Imported,Manual,21,4318.181818181818
Chevrolet,Joy,2009,107000,900000,Petrol,Lahore,Original,Imported,Manual,17,5944.444444444444
Honda,Civic Oriel,2017,90000,4850000,Petrol,Lahore,Original,Local,Automatic,9,9000.0
Toyota,Yaris,2021,20000,4380000,Petrol,Karachi,Original,Local,Automatic,5,3333.3333333333335
Suzuki,Every,2021,15654,3270000,Petrol,Unregistered,Original,Imported,Automatic,5,2609.0
Hyundai,Santro,2003,123456,825000,Petrol,Lahore,Original,Local,Manual,23,5144.0
Suzuki,Alto,2004,100000,480000,CNG,Karachi,Original,Local,Manual,22,4347.826086956522
KIA,Classic,2000,12345,450000,Petrol,Karachi,Original,Local,Manual,26,457.22222222222223
KIA,Spectra,2002,120000,550000,CNG,Karachi,Original,Imported,Manual,24,4800.0
Suzuki,Mehran VXR,2012,70000,820000,Petrol,Lahore,Original,Imported,Manual,14,4666.666666666667
Daihatsu,Move,2012,77000,2275000,Petrol,Lahore,Original,Imported,Automatic,14,5133.333333333333
Suzuki,Alto,2021,70000,2350000,Petrol,Islamabad,Original,Local,Manual,5,11666.666666666666
Suzuki,Mehran VXR,2006,1234,545000,Petrol,Karachi,Original,Local,Manual,20,58.76190476190476
Suzuki,Wagon R,2018,122000,2100000,Petrol,Lahore,Original,Local,Manual,8,13555.555555555555
Daihatsu,Hijet,2018,130000,1395000,Petrol,Karachi,Original,Imported,Automatic,8,14444.444444444445
Honda,City IVTEC,2019,43000,4200000,Petrol,Islamabad,Original,Local,Automatic,7,5375.0
Hyundai,Santro,2007,90000,1055000,Petrol,Lahore,Original,Local,Manual,19,4500.0
Daihatsu,Cuore,2001,12378,580000,Petrol,Faisalabad,Original,Imported,Manual,25,476.0769230769231
Honda,Civic Prosmetic,2010,92000,2600000,Petrol,Bahawalpur,Original,Local,Automatic,16,5411.764705882353
Suzuki,Cultus VXR,2008,85421,836999,Petrol,Lahore,Original,Imported,Manual,18,4495.8421052631575
Suzuki,Bolan,2014,95500,840000,Petrol,Karachi,Original,Local,Manual,12,7346.153846153846
FAW,V2,2018,75000,1550000,Petrol,Islamabad,Original,Imported,Manual,8,8333.333333333334
Toyota,Corolla GLI,2009,250000,2225000,Petrol,Multan,Original,Local,Manual,17,13888.888888888889
Hyundai,Santro,2006,80000,970000,Petrol,Lahore,Original,Local,Manual,20,3809.5238095238096
Toyota,Corolla GLI,2016,94000,3000000,Petrol,Lahore,Original,Local,Manual,10,8545.454545454546
Toyota,Corolla XLI,2008,150000,2100000,Petrol,Islamabad,Original,Local,Manual,18,7894.736842105263
Toyota,Corolla GLI,2012,230000,2400000,Petrol,Sindh,Original,Local,Manual,14,15333.333333333334
Suzuki,Wagon R,2015,83000,1680000,Petrol,Lahore,Original,Imported,Manual,11,6916.666666666667
Suzuki,Cultus VXR,2015,115000,1625000,Petrol,Lahore,Original,Local,Manual,11,9583.333333333334
Hyundai,Santro,2004,177100,750000,Petrol,Sindh,Original,Imported,Manual,22,7700.0
Hyundai,Santro,2005,95000,910000,Petrol,Lahore,Original,Local,Manual,21,4318.181818181818
Hyundai,Santro,2005,1234,800000,Petrol,Faisalabad,Original,Imported,Manual,21,56.09090909090909
KIA,Picanto,2021,18000,3100000,Petrol,Lahore,Original,Imported,Automatic,5,3000.0
Toyota,Corolla GLI,2014,180000,2900000,Petrol,Punjab,Original,Imported,Automatic,12,13846.153846153846
Toyota,Corolla GLI,2011,82000,2550000,Petrol,Sindh,Original,Local,Manual,15,5125.0
Mitsubishi,Ek Wagon,2015,50000,2080000,Petrol,Sindh,Original,Imported,Automatic,11,4166.666666666667
Honda,City Vario,2006,160000,1580000,Petrol,Sindh,Original,Local,Automatic,20,7619.047619047619
Suzuki,Every,2010,200000,1450000,Petrol,Lahore,Original,Imported,Automatic,16,11764.70588235294
KIA,Picanto,2021,65000,2700000,Petrol,Punjab,Original,Local,Automatic,5,10833.333333333334
Changan,Karvaan,2022,12700,2600000,Petrol,Hyderabad,Original,Local,Manual,4,2540.0
Suzuki,Bolan,2019,60700,1375000,Petrol,Lahore,Original,Local,Manual,7,7587.5
Honda,City IVTEC,2021,29400,4050000,Petrol,Islamabad,Original,Local,Manual,5,4900.0
Daihatsu,Cuore,2007,245128,780000,Petrol,Karachi,Original,Local,Manual,19,12256.4
Honda,City Vario,2005,223000,1725000,Petrol,Lahore,Original,Local,Automatic,21,10136.363636363636
Suzuki,Ravi,2005,100000,290000,Petrol,Karachi,Original,Imported,Manual,21,4545.454545454545
Suzuki,Bolan,2008,55000,720000,CNG,Islamabad,Original,Imported,Manual,18,2894.7368421052633
Suzuki,Bolan,2009,91000,950000,Petrol,Islamabad,Original,Local,Manual,17,5055.555555555556
Daihatsu,Mira,2015,70000,1920000,Petrol,Karachi,Original,Imported,Automatic,11,5833.333333333333
Hyundai,Santro,2006,153000,950000,Petrol,Lahore,Original,Imported,Manual,20,7285.714285714285
Suzuki,Mehran VXR,2006,123456,499999,Petrol,Karachi,Original,Local,Manual,20,5878.857142857143
Hyundai,Santro,2003,194857,720000,Petrol,Karachi,Original,Local,Manual,23,8119.041666666667
Suzuki,Swift,2021,41000,3350000,Petrol,Islamabad,Original,Local,Automatic,5,6833.333333333333
Suzuki,Mehran VXR,2006,100000,500000,Petrol,Rahimyar Khan,Original,Local,Manual,20,4761.9047619047615
Honda,City IVTEC,2017,160000,3300000,Petrol,Islamabad,Original,Local,Manual,9,16000.0
Honda,Civic Oriel,2005,130000,1575000,Petrol,Lahore,Original,Imported,Manual,21,5909.090909090909
Hyundai,Santro,2005,120000,985000,Petrol,Lahore,Original,Local,Manual,21,5454.545454545455
Toyota,Corolla GLI,2018,66000,4250000,Petrol,Lahore,Original,Local,Manual,8,7333.333333333333
Suzuki,Swift,2013,110000,1590000,Petrol,Karachi,Original,Local,Manual,13,7857.142857142857
Suzuki,Bolan,2017,58000,1099000,Petrol,Lahore,Original,Local,Manual,9,5800.0
Suzuki,Alto,2021,22000,2370000,Petrol,Lahore,Original,Local,Manual,5,3666.6666666666665
Mitsubishi,Lancer,2005,139000,1350000,Petrol,Faisalabad,Original,Imported,Automatic,21,6318.181818181818
Suzuki,Mehran VXR,2017,78000,1115000,Petrol,Lahore,Original,Local,Manual,9,7800.0
Toyota,Altis Grande,2018,71500,4900000,Petrol,Karachi,Original,Local,Automatic,8,7944.444444444444
Toyota,Passo,2006,90000,1590000,Petrol,Karachi,Original,Imported,Automatic,20,4285.714285714285
Toyota,Yaris,2021,36000,3800000,Petrol,Punjab,Original,Local,Manual,5,6000.0
Mitsubishi,Minicab Bravo,2013,90000,1050000,Petrol,Islamabad,Original,Imported,Manual,13,6428.571428571428
Suzuki,Alto,2017,48000,2800000,Petrol,Karachi,Original,Imported,Automatic,9,4800.0
Suzuki,Bolan,2001,76240,550000,Petrol,Hyderabad,Original,Imported,Manual,25,2932.3076923076924
Honda,City IVTEC,2022,3700,4600000,Petrol,Karachi,Original,Local,Automatic,4,740.0
Suzuki,Mehran VXR,2008,40000,530000,Petrol,Punjab,Original,Local,Manual,18,2105.2631578947367
Toyota,Corolla Assista,2004,166000,2600000,Petrol,Karachi,Original,Local,Manual,22,7217.391304347826
Daihatsu,Cuore,2007,100000,735000,Petrol,Karachi,Original,Local,Manual,19,5000.0
Honda,City Vario,2004,108000,1400000,Petrol,Karachi,Original,Local,Automatic,22,4695.652173913043
Hyundai,Santro,2008,111000,965000,Petrol,Lahore,Original,Local,Manual,18,5842.105263157895
Suzuki,Alto,2010,178526,1000000,CNG,Lahore,Original,Local,Manual,16,10501.529411764706
Daihatsu,Cuore,2005,300000,580000,Petrol,Karachi,Original,Imported,Manual,21,13636.363636363636
Suzuki,Alto,2020,40500,2525000,Petrol,Lahore,Original,Local,Automatic,6,5785.714285714285
Toyota,Yaris,2020,48000,4175000,Petrol,Karachi,Original,Local,Automatic,6,6857.142857142857
Daihatsu,Mira,2010,109621,1660000,Petrol,Lahore,Original,Imported,Automatic,16,6448.294117647059
Hyundai,Santro,2004,186000,1275000,Petrol,Lahore,Original,Local,Manual,22,8086.95652173913
Toyota,Yaris,2020,36000,4500000,Petrol,Karachi,Original,Local,Automatic,6,5142.857142857143
Honda,City IVTEC,2010,165000,2325000,Petrol,Lahore,Original,Local,Manual,16,9705.882352941177
Honda,Civic Prosmetic,2007,142000,1790000,Petrol,Lahore,Original,Local,Automatic,19,7100.0
Honda,Civic Prosmetic,2008,130741,1740000,Petrol,Karachi,Original,Local,Automatic,18,6881.105263157895
Honda,City IVTEC,2017,58000,3480000,Petrol,Islamabad,Original,Local,Manual,9,5800.0
Honda,City IVTEC,2016,53600,3800000,Petrol,Lahore,Original,Local,Automatic,10,4872.727272727273
Honda,City IDSI,2008,200000,1620000,Petrol,Karachi,Original,Local,Manual,18,10526.315789473685
Honda,City IDSI,2003,12345,1315000,Petrol,Lahore,Original,Local,Automatic,23,514.375
Chevrolet,Joy,2006,1234,625000,Petrol,Lahore,Original,Imported,Manual,20,58.76190476190476
Suzuki,Wagon R,2019,110000,2450000,Petrol,Lahore,Original,Local,Manual,7,13750.0
Suzuki,Bolan,2017,65000,1350000,Petrol,Lahore,Original,Local,Manual,9,6500.0
Toyota,Corolla GLI,2011,120000,2860000,Petrol,Islamabad,Original,Local,Manual,15,7500.0
Suzuki,Wagon R,2021,47000,2600000,Petrol,Lahore,Original,Local,Manual,5,7833.333333333333
Hyundai,Santro,2001,10000,745000,Petrol,Lahore,Original,Imported,Manual,25,384.61538461538464
Suzuki,Wagon R,2018,119000,1900000,Petrol,Multan,Original,Local,Manual,8,13222.222222222223
Daihatsu,Cuore,2008,1234,695000,Petrol,Karachi,Original,Local,Manual,18,64.94736842105263
Suzuki,Wagon R,2016,50000,1800000,Petrol,Karachi,Original,Local,Manual,10,4545.454545454545
Hyundai,Santro,2006,75000,847000,Petrol,Faisalabad,Original,Local,Manual,20,3571.4285714285716
Mercedes,E Class,2002,80000,3500000,Petrol,Islamabad,Original,Imported,Automatic,24,3200.0
Honda,City IDSI,2005,100500,1475000,Petrol,Lahore,Original,Local,Manual,21,4568.181818181818
Daihatsu,Mira,2018,99000,2340000,Petrol,Karachi,Original,Imported,Automatic,8,11000.0
Daihatsu,Mira,2014,100000,2050000,Petrol,Karachi,Original,Imported,Automatic,12,7692.307692307692
Daihatsu,Cuore,2007,95000,650000,Petrol,Karachi,Original,Local,Manual,19,4750.0
Changan,Alsvin,2021,21600,3500000,Petrol,Lahore,Original,Local,Manual,5,3600.0
Toyota,Passo,2007,210000,1840000,Petrol,Punjab,Original,Imported,Automatic,19,10500.0
Toyota,Corolla XLI,2011,150000,2375000,Petrol,Lahore,Original,Local,Manual,15,9375.0
Suzuki,Baleno,2003,100000,870000,Petrol,Karachi,Original,Local,Manual,23,4166.666666666667
Hyundai,Santro,2007,169500,895000,Petrol,Lahore,Original,Local,Manual,19,8475.0
Suzuki,Bolan,2018,12345,1280000,Petrol,Karachi,Original,Local,Manual,8,1371.6666666666667
Toyota,Corrolla Altis,2015,145000,3400000,Petrol,Lahore,Original,Local,Automatic,11,12083.333333333334
Suzuki,Swift,2017,71000,2200000,Petrol,Lahore,Original,Local,Manual,9,7100.0
